,title,day,date,place_cd,place,race_no,race_type,distance,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari
0,日本財団会長杯ゴールデンウイーク特選,5,2021-05-02,23,唐津,1,朝1戦一般,1800,4445,4100,4778,3926,3224,5142,宮地元輝,松田隆司,堤啓輔,大古場貴,栗山繁洋,常住蓮,18,33,49,64,14,47,42,31,43,75,79,40,6.50,6.63,6.54,6.62,6.63,6.62,1,2,3,4,5,6,0.13,0.14,0.23,0.21,0.16,0.22,107.6,109.9,113.7,112.7,111.5,113.4,1,2,6,4,3,5,1,1,2,1-2,1-2,1-2,1-5,2-5,1-2-5,1-2-5,1.0,1.0,2.6,2.5,3.3,1.3,2.8,7.1,9.6,6.3,1,2,1,5,10,4,2,逃げ,1
1,日本財団会長杯ゴールデンウイーク特選,5,2021-05-02,23,唐津,2,モー2ング一,1800,4531,4822,3892,3809,3953,4252,武富智亮,百武翔,草場康幸,吉田光,志道吉和,松下哲也,21,35,53,63,19,29,82,71,36,41,44,38,6.60,6.69,6.68,6.70,6.65,6.72,1,2,3,4,5,6,0.15,0.16,0.17,0.21,0.25,0.24,108.0,110.3,109.7,112.1,113.5,117.4,1,3,2,4,5,6,1,1,3,1-3,1-3,1-3,1-2,2-3,1-3-2,1-2-3,1.1,1.0,1.3,2.8,2.0,1.4,1.4,2.0,6.5,3.0,2,1,1,2,4,2,1,逃げ,1
2,日本財団会長杯ゴールデンウイーク特選,5,2021-05-02,23,唐津,3,3ライズ戦一,1800,3284,5055,5026,3752,4949,3869,渡邊伸太郎,眞鳥章太,安河内健,宇土泰就,横田貴満,井芹大志,62,20,69,26,66,50,60,37,67,61,77,57,6.60,6.64,6.51,6.59,6.56,6.67,1,2,3,4,5,6,0.19,0.20,0.17,0.18,0.16,0.23,109.4,115.8,109.9,111.5,113.4,112.1,1,6,2,3,5,4,1,1,3,1-3,1-3,1-3,1-4,3-4,1-3-4,1-3-4,1.0,1.0,1.1,2.1,1.8,1.1,1.9,3.3,8.1,4.5,1,1,1,3,7,3,3,逃げ,1
3,日本財団会長杯ゴールデンウイーク特選,5,2021-05-02,23,唐津,4,おは4戦一般,1800,3734,4294,3593,4222,3522,4695,宮田政勝,古賀繁輝,横井光弘,山口高志,長溝一生,尾崎雄二,23,48,43,61,13,27,63,90,33,35,74,64,6.57,6.61,6.68,6.62,6.59,6.65,1,2,3,5,4,6,0.23,0.29,0.21,0.23,0.32,0.21,109.4,110.8,116.4,113.4,112.3,115.1,1,2,6,4,3,5,1,1,2,1-2,1-2,1-2,1-5,2-5,1-2-5,1-2-5,2.2,1.0,1.0,4.2,2.2,1.2,1.5,1.4,7.1,2.3,2,1,1,3,2,1,1,逃げ,0
4,日本財団会長杯ゴールデンウイーク特選,5,2021-05-02,23,唐津,5,一般,1800,3964,4006,3623,3297,4879,3153,宮地博士,小野勇作,深川真二,藤丸光一,山崎鉄平,前川竜次,68,37,38,34,31,12,84,53,70,72,65,58,6.70,6.61,6.58,6.64,6.62,6.60,1,5,2,3,6,4,0.23,0.25,0.18,0.21,0.25,0.33,111.1,108.3,109.3,112.1,112.3,115.1,3,1,2,4,5,6,2,2,3,2-3,2-3,2-3,1-2,1-3,2-3-1,1-2-3,4.3,1.7,1.1,9.8,2.9,1.7,5.3,3.4,58.6,7.0,4,1,2,9,7,21,3,まくり差し,0
5,日本財団会長杯ゴールデンウイーク特選,5,2021-05-02,23,唐津,6,一般,1800,3773,4395,4515,4092,4100,4734,津留浩一郎,下河雅史,藤田浩人,岡部大輔,松田隆司,安河内将,24,25,45,36,33,15,73,81,50,68,31,48,6.63,6.70,6.68,6.66,6.78,6.57,1,2,3,4,5,6,0.08,0.09,0.17,0.16,0.25,0.17,108.7,109.7,111.6,112.6,114.5,112.1,1,2,3,5,6,4,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.3,1.6,1.4,8.6,6.0,2.8,2.8,4.1,24.4,9.3,3,3,4,5,9,5,6,逃げ,1
6,日本財団会長杯ゴールデンウイーク特選,5,2021-05-02,23,唐津,7,一般,1800,3211,4949,3224,3434,5084,3926,北川敏弘,横田貴満,栗山繁洋,松尾宣邦,末永和也,大古場貴,17,66,14,65,51,64,32,77,79,88,66,75,6.64,6.62,6.67,6.65,6.63,6.60,1,2,3,4,5,6,0.18,0.14,0.12,0.20,0.17,0.19,111.2,112.5,107.8,113.4,108.0,118.2,3,4,1,5,2,6,3,3,5,3-5,3-5,3-5,1-3,1-5,3-5-1,1-3-5,8.3,3.0,3.4,64.2,21.8,5.2,1.4,1.6,180.1,8.1,16,8,9,1,2,59,6,まくり差し,1
7,日本財団会長杯ゴールデンウイーク特選,5,2021-05-02,23,唐津,8,一般,1800,4101,4661,4503,3953,3471,5092,三井所尊春,中島昂章,上野真之介,志道吉和,赤峰和也,篠原晟弥,54,22,11,19,32,52,45,39,46,44,47,34,6.58,6.61,6.59,6.59,6.68,6.58,2,3,4,5,1,6,0.19,0.19,0.12,0.16,0.21,0.12,109.1,109.7,111.8,113.1,116.3,112.3,1,2,3,5,6,4,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,2.1,1.2,2.5,13.1,6.3,1.9,1.0,1.6,21.4,2.5,4,2,4,1,2,7,1,まくり,0
8,日本財団会長杯ゴールデンウイーク特選,5,2021-05-02,23,唐津,9,一般特賞,1800,4222,4879,3869,4822,3284,4981,山口高志,山崎鉄平,井芹大志,百武翔,渡邊伸太郎,牧山敦也,61,31,50,35,62,30,35,65,57,71,60,80,6.65,6.66,6.71,6.68,6.70,6.71,1,2,3,4,5,6,0.21,0.15,0.14,0.14,0.13,0.18,112.0,108.5,112.2,113.2,110.9,113.2,3,1,4,5,2,6,2,2,5,2-5,2-5,2-5,1-2,1-5,2-5-1,1-2-5,7.7,1.4,3.8,30.7,19.8,2.3,1.5,2.2,61.1,3.0,10,6,4,1,3,20,1,まくり,1
9,日本財団会長杯ゴールデンウイーク特選,5,2021-05-02,23,唐津,10,準優勝戦,1800,3623,3809,3522,4531,4006,5026,深川真二,吉田光,長溝一生,武富智亮,小野勇作,安河内健,38,63,13,21,37,69,70,41,74,82,53,67,6.63,6.69,6.66,6.62,6.64,6.64,1,2,3,4,5,6,0.06,0.11,0.10,0.12,0.14,0.16,109.2,113.3,112.3,109.9,113.9,118.7,1,4,3,2,5,6,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,1.0,1.0,1.4,3.0,2.7,1.3,1.4,2.9,8.6,3.2,1,1,1,2,5,2,1,逃げ,1
10,日本財団会長杯ゴールデンウイーク特選,5,2021-05-02,23,唐津,11,準優勝戦,1800,3892,5084,3434,4515,4445,3297,草場康幸,末永和也,松尾宣邦,藤田浩人,宮地元輝,藤丸光一,53,51,65,45,18,34,36,66,88,50,42,72,6.62,6.62,6.74,6.70,6.57,6.71,1,4,5,3,6,2,0.16,0.01,0.07,0.11,0.02,0.21,110.6,108.8,115.4,115.0,111.2,113.0,2,1,6,5,3,4,2,2,1,2-1,1-2,1-2,2-5,1-5,2-1-5,1-2-5,6.3,1.6,1.3,9.8,2.5,1.2,2.1,1.3,18.4,3.7,4,1,1,3,2,5,1,まくり,0
11,日本財団会長杯ゴールデンウイーク特選,5,2021-05-02,23,唐津,12,準優勝戦,1800,4503,4101,4092,3211,4294,5055,上野真之介,三井所尊春,岡部大輔,北川敏弘,古賀繁輝,眞鳥章太,11,54,36,17,48,20,46,45,68,32,90,37,6.64,6.62,6.64,6.68,6.66,6.68,1,2,3,4,5,6,0.05,0.14,0.08,0.11,0.13,0.18,109.3,111.3,114.2,112.7,114.8,114.3,1,2,4,3,6,5,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,1.2,1.0,1.0,2.0,1.5,1.3,2.7,4.2,13.4,8.8,1,1,1,4,7,6,4,逃げ,1
12,オール福岡!GW特選レース,1,2021-05-02,22,福岡,1,予選,1800,4506,3747,4588,3491,5101,4180,稗田聖也,國崎良春,田中京介,富永茂,表健太,上野秀和,28,24,15,21,59,46,146,104,133,115,122,132,6.96,6.95,6.97,6.96,7.04,6.97,1,2,3,4,5,6,0.14,0.20,0.21,0.29,0.22,0.21,114.5,115.9,,117.5,,115.2,1,3,5,4,6,2,1,1,6,1-6,1-6,1-6,1-2,2-6,1-6-2,1-2-6,1.0,1.2,7.7,20.9,16.6,4.1,1.9,4.8,49.0,7.3,6,5,6,2,9,17,3,逃げ,1
13,オール福岡!GW特選レース,1,2021-05-02,22,福岡,2,予選,1800,5018,4368,4355,4451,4614,4674,竹下大樹,山口隆史,小川広大,松崎祐太郎,石倉洋行,池田剛規,48,26,71,43,23,54,109,153,168,128,118,139,6.86,7.02,7.10,6.92,7.04,7.05,1,2,3,4,5,6,0.23,0.23,0.29,0.16,0.15,0.12,,114.5,,112.4,116.1,115.4,6,2,5,1,4,3,4,4,2,4-2,2-4,2-4,4-6,2-6,4-2-6,2-4-6,5.1,1.6,1.6,16.5,10.4,3.2,7.4,34.4,108.6,31.0,6,6,4,7,14,38,12,まくり,1
14,オール福岡!GW特選レース,1,2021-05-02,22,福岡,3,予選,1800,4463,4942,3825,3265,4848,5012,三苫晃幸,柴田朋哉,宮嵜隆太郎,今村暢孝,仲谷颯仁,加倉侑征,30,65,40,67,52,63,152,111,173,165,136,164,6.93,6.88,6.93,7.06,6.99,6.89,1,3,4,2,5,6,0.07,0.08,0.05,0.08,0.11,0.15,111.3,112.1,,116.4,113.6,,1,2,5,4,3,6,1,1,2,1-2,1-2,1-2,1-5,2-5,1-2-5,1-2-5,2.5,1.2,2.4,12.9,10.5,4.2,2.6,3.3,25.6,8.9,5,5,7,3,5,6,3,抜き,0
15,オール福岡!GW特選レース,1,2021-05-02,22,福岡,4,予選,1800,2903,4301,3473,4803,4102,3715,山崎毅,関裕也,石川真二,飯田庄吾,益田啓司,倉尾大介,20,61,27,41,47,70,144,101,159,171,124,125,6.93,7.03,6.97,6.97,6.96,6.96,1,2,3,4,5,6,0.27,0.27,0.27,0.29,0.23,0.39,111.8,,113.1,114.3,,114.2,1,6,2,4,5,3,1,1,3,1-3,1-3,1-3,1-6,3-6,1-3-6,1-3-6,2.8,1.2,1.4,6.4,3.2,2.1,15.7,9.9,70.9,33.1,2,1,2,14,9,24,10,逃げ,1
16,オール福岡!GW特選レース,1,2021-05-02,22,福岡,5,予選,1800,3627,4180,3898,4684,4729,4727,井上恵一,上野秀和,平田忠則,楠原翔太,佐藤謙史朗,安部慎一,45,46,31,64,13,17,160,132,137,158,170,174,6.99,6.95,7.00,7.07,6.99,6.99,1,2,3,4,5,6,0.33,0.25,0.26,0.16,0.15,0.15,111.6,,113.6,115.6,112.3,,1,6,3,4,2,5,1,1,5,1-5,1-5,1-5,1-3,3-5,1-5-3,1-3-5,1.6,1.9,25.5,39.4,37.3,4.6,2.0,4.0,81.7,6.8,13,7,8,4,5,31,3,抜き,1
17,オール福岡!GW特選レース,1,2021-05-02,22,福岡,6,予選,1800,4614,3986,4406,4330,4232,5101,石倉洋行,沖島広和,幸野史明,奈須啓太,笠雅雄,表健太,23,57,33,51,56,59,118,116,107,102,151,122,6.85,6.91,6.92,6.91,6.98,6.91,1,2,3,4,5,6,0.07,0.06,0.09,0.04,0.06,0.04,119.9,117.7,121.3,116.0,,,3,2,4,1,6,5,4,4,2,4-2,2-4,2-4,1-4,1-2,4-2-1,1-2-4,3.0,2.1,3.0,18.6,8.7,1.6,1.0,1.0,25.4,1.8,6,4,3,2,1,9,1,まくり,1
18,オール福岡!GW特選レース,1,2021-05-02,22,福岡,7,予選,1800,4848,4355,4364,4588,4551,3825,仲谷颯仁,小川広大,池永太,田中京介,三川昂暁,宮嵜隆太郎,52,71,37,15,75,40,136,168,113,133,172,173,6.92,6.93,6.91,6.97,6.93,6.90,1,2,3,4,5,6,0.16,0.21,0.14,0.21,0.23,0.19,110.2,,113.3,111.7,114.2,,1,6,3,2,4,5,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,1.0,1.0,2.1,7.2,7.2,1.8,1.2,4.3,13.7,2.9,3,2,3,1,7,5,2,逃げ,1
19,オール福岡!GW特選レース,1,2021-05-02,22,福岡,8,予選,1800,4451,3491,4803,4329,4463,5105,松崎祐太郎,富永茂,飯田庄吾,小松卓司,三苫晃幸,富田恕生,43,21,41,25,30,36,128,115,171,149,152,131,6.89,6.90,6.98,6.93,6.89,6.89,1,2,3,4,5,6,0.16,0.15,0.21,0.21,0.19,0.21,110.8,,111.7,112.3,114.1,,1,5,2,3,4,6,1,1,3,1-3,1-3,1-3,1-4,3-4,1-3-4,1-3-4,1.3,1.0,2.8,4.2,4.3,1.2,1.4,4.6,10.1,3.3,3,2,1,2,10,3,2,逃げ,1
20,オール福岡!GW特選レース,1,2021-05-02,22,福岡,9,予選,1800,3898,4102,4674,4506,4679,4942,平田忠則,益田啓司,池田剛規,稗田聖也,植田太一,柴田朋哉,31,47,54,28,72,65,137,124,139,146,162,111,6.88,6.80,6.86,6.84,6.76,6.82,1,2,3,4,5,6,0.03,0.05,0.06,0.11,0.09,0.06,108.7,111.1,110.4,111.8,,,1,3,2,4,6,5,1,1,3,1-3,1-3,1-3,1-2,2-3,1-3-2,1-2-3,1.3,1.4,3.3,8.3,7.1,3.2,1.2,4.2,21.6,4.5,4,4,4,1,8,6,2,逃げ,1
21,オール福岡!GW特選レース,1,2021-05-02,22,福岡,10,予選特賞,1800,3265,4727,5018,3986,3747,3473,今村暢孝,安部慎一,竹下大樹,沖島広和,國崎良春,石川真二,67,17,48,57,24,27,165,174,109,116,104,159,6.86,6.86,6.84,6.89,6.84,6.88,1,3,4,5,6,2,0.06,0.13,0.16,0.17,0.16,0.12,118.4,,120.5,,123.7,115.5,2,6,3,5,4,1,6,6,1,6-1,1-6,1-6,3-6,1-3,6-1-3,1-3-6,3.4,2.8,1.7,9.0,1.9,1.4,3.1,2.5,26.7,4.0,4,1,1,5,4,9,1,差し,0
22,オール福岡!GW特選レース,1,2021-05-02,22,福岡,11,福岡選抜,1800,4330,4684,5012,4368,4301,4364,奈須啓太,楠原翔太,加倉侑征,山口隆史,関裕也,池永太,51,64,63,26,61,37,102,158,164,153,101,113,6.72,6.77,6.80,6.83,,6.81,1,3,2,4,.,5,0.14,0.12,0.18,0.11,,0.11,108.4,112.5,109.8,,,110.7,1,4,2,5,6,3,1,1,3,1-3,1-3,1-3,1-6,3-6,1-3-6,1-3-6,1.4,1.3,3.7,6.0,5.8,2.9,1.6,2.5,13.4,4.6,3,3,7,2,4,6,2,逃げ,0
23,オール福岡!GW特選レース,1,2021-05-02,22,福岡,12,ドリームレー,1800,3783,3257,4148,4544,4522,4363,瓜生正義,田頭実,枝尾賢,松田大志郎,古澤光紀,大野芳顕,35,22,42,60,50,14,143,106,117,110,127,147,6.77,6.84,6.75,6.74,6.83,6.79,1,2,3,4,5,6,0.17,0.16,0.16,0.16,0.18,0.16,107.7,,110.9,108.9,112.1,,1,5,3,2,4,6,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,1.3,1.0,2.0,4.4,3.2,1.1,1.2,3.4,11.1,3.8,3,3,1,2,7,5,1,逃げ,1
24,スポーツニッポン杯GW特選競走,4,2021-05-02,20,若松,1,予選,1800,4250,4487,3506,3670,3561,4314,藤川利文,三原司,宮西真昭,古澤信二,池田真治,青木幸太郎,26,5,3,18,59,36,60,24,70,29,54,21,6.78,6.75,6.71,6.74,6.76,6.80,1,2,3,4,5,6,0.18,0.12,0.15,0.06,0.11,0.08,112.2,112.5,111.3,109.5,,,3,4,2,1,6,5,4,4,3,4-3,3-4,3-4,1-4,1-3,4-3-1,1-3-4,17.9,3.3,9.7,37.0,25.0,3.8,1.5,2.4,157.9,7.2,14,9,7,1,3,55,3,抜き,1
25,スポーツニッポン杯GW特選競走,4,2021-05-02,20,若松,2,予選,1800,3458,4724,4638,4765,4773,4236,東健介,吉田祐貴,小林遼太,野田部宏子,中川りな,松村敏,41,13,45,37,20,21,36,66,22,20,26,43,6.80,6.77,6.76,6.83,6.79,6.81,1,2,3,4,5,6,0.21,0.15,0.21,0.07,0.11,0.07,,,113.6,109.0,112.1,111.1,6,5,4,1,3,2,4,4,6,4-6,4-6,4-6,4-5,5-6,4-6-5,4-5-6,7.7,4.0,4.0,56.3,30.8,6.4,3.6,3.6,182.1,26.6,23,10,9,5,5,68,11,まくり,1
26,スポーツニッポン杯GW特選競走,4,2021-05-02,20,若松,3,予選,1800,4204,3853,4764,4234,4403,4433,柴田大輔,岩崎正哉,小池礼乃,野相弘司,木下大將,川野芽唯,42,53,35,60,16,55,47,52,14,28,69,53,6.78,6.77,6.75,6.84,6.81,6.82,1,2,3,4,5,6,0.11,0.12,0.09,0.14,0.14,0.21,109.9,,112.3,110.9,112.5,,1,6,3,2,4,5,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,2.2,1.9,3.9,28.2,10.8,4.5,8.8,16.0,124.9,25.5,12,6,5,10,15,58,12,逃げ,1
27,スポーツニッポン杯GW特選競走,4,2021-05-02,20,若松,4,予選,1800,3702,3537,3787,4530,5104,4802,貞兼淳二,田山和広,天野誠,小野生奈,山田丈,中田達也,25,11,54,32,39,44,68,38,39,30,46,42,6.77,6.78,6.84,6.79,6.76,6.79,1,2,3,4,5,6,0.19,0.23,0.19,0.06,0.15,0.16,113.8,,112.8,109.3,,110.7,4,5,3,1,6,2,4,4,6,4-6,4-6,4-6,3-4,3-6,4-6-3,3-4-6,3.5,1.4,1.0,7.3,3.7,1.9,2.1,3.1,35.3,13.8,3,1,2,4,6,16,7,まくり,1
28,スポーツニッポン杯GW特選競走,4,2021-05-02,20,若松,5,進入固定戦隊,1800,3662,3876,3998,4287,4487,5028,大庭元明,中辻崇人,冨成謙児,今井貴士,三原司,原田才一郎,52,57,56,33,5,10,23,40,72,25,24,45,6.79,6.76,6.79,6.85,6.76,6.79,1,2,3,4,5,6,0.06,0.09,0.12,0.11,0.15,0.19,109.5,110.9,112.0,111.8,,,1,2,4,3,5,6,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,1.6,1.0,1.0,2.7,1.8,1.1,1.1,1.7,5.1,1.9,1,1,1,2,3,1,1,逃げ,1
29,スポーツニッポン杯GW特選競走,4,2021-05-02,20,若松,6,予選,1800,4773,4736,4121,3506,4831,4349,中川りな,高倉和士,富永修一,宮西真昭,羽野直也,犬童千秋,20,29,2,3,23,50,26,19,48,70,44,16,6.76,6.79,6.85,6.79,6.80,6.78,1,2,3,4,5,6,0.11,0.06,0.13,0.18,0.17,0.15,,108.9,109.6,112.2,111.9,,5,1,2,4,3,6,2,2,3,2-3,2-3,2-3,2-5,3-5,2-3-5,2-3-5,2.2,1.9,4.1,20.3,10.6,2.6,1.7,4.4,42.1,8.2,9,5,5,2,8,15,3,差し,1
30,スポーツニッポン杯GW特選競走,4,2021-05-02,20,若松,7,予選,1800,3188,3576,3514,4638,4204,4566,日高逸子,白水勝也,山一鉄也,小林遼太,柴田大輔,塩田北斗,40,38,14,45,42,31,31,65,50,22,47,17,6.84,6.70,6.77,6.83,6.82,6.83,1,2,3,5,6,4,0.19,0.14,0.13,0.16,0.15,0.17,,108.6,110.9,,113.1,111.9,5,1,2,6,4,3,2,2,3,2-3,2-3,2-3,2-6,3-6,2-3-6,2-3-6,4.2,2.6,2.3,4.9,2.8,1.3,1.2,2.5,9.8,3.0,1,1,2,1,6,1,1,まくり,0
31,スポーツニッポン杯GW特選競走,4,2021-05-02,20,若松,8,エイトビート,1800,4151,4350,4590,4272,4234,4866,下河誉史,篠崎元志,渡邉優美,大場広孝,野相弘司,橋本英一,49,61,15,22,60,1,64,33,73,27,28,57,6.77,6.81,6.71,6.76,6.82,6.81,1,2,3,4,5,6,0.05,0.07,0.11,0.22,0.17,0.22,108.4,109.9,110.6,112.9,,,1,2,3,4,5,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.8,1.0,1.0,2.7,1.9,1.4,1.6,2.3,5.3,2.0,1,1,1,3,6,1,1,逃げ,1
32,スポーツニッポン杯GW特選競走,4,2021-05-02,20,若松,9,予選,1800,4371,3561,4958,3787,4287,4652,西山貴浩,池田真治,溝口海義也,天野誠,今井貴士,酒見峻介,51,59,30,54,33,9,59,54,67,39,25,35,6.86,6.83,6.80,6.90,6.86,6.79,1,2,3,4,5,6,0.23,0.23,0.31,0.26,0.21,0.19,109.5,,112.9,,110.4,111.8,1,5,4,6,2,3,1,1,5,1-5,1-5,1-5,1-6,5-6,1-5-6,1-5-6,1.1,1.5,1.2,3.1,2.5,1.3,4.4,6.6,15.1,10.9,2,2,1,7,10,5,5,逃げ,1
33,スポーツニッポン杯GW特選競走,4,2021-05-02,20,若松,10,一般特賞,1800,4831,4802,3876,3576,4250,4724,羽野直也,中田達也,中辻崇人,白水勝也,藤川利文,吉田祐貴,23,44,57,38,26,13,44,42,40,65,60,66,6.76,6.75,6.78,6.72,6.80,6.78,1,2,3,4,5,6,0.07,0.13,0.08,0.02,0.06,0.07,108.0,111.8,112.8,108.5,,,1,3,4,2,6,5,1,1,4,1-4,1-4,1-4,1-2,2-4,1-4-2,1-2-4,1.4,1.1,1.8,3.3,2.9,1.2,1.1,1.6,6.5,2.2,2,2,2,1,4,2,1,逃げ,1
34,スポーツニッポン杯GW特選競走,4,2021-05-02,20,若松,11,一般特選,1800,4350,4566,3853,3702,4236,3670,篠崎元志,塩田北斗,岩崎正哉,貞兼淳二,松村敏,古澤信二,61,31,53,25,21,18,33,17,52,68,43,29,6.79,6.78,6.76,6.83,6.80,6.79,1,2,3,4,5,6,0.12,0.14,0.12,0.08,0.09,0.09,108.9,111.7,109.9,,,112.2,1,3,2,5,6,4,1,1,3,1-3,1-3,1-3,1-2,2-3,1-3-2,1-2-3,1.2,1.0,2.2,4.3,7.7,2.0,1.2,3.1,11.2,3.2,2,3,3,1,6,5,2,逃げ,1
35,スポーツニッポン杯GW特選競走,4,2021-05-02,20,若松,12,一般特選,1800,4590,4530,3188,4433,4349,4765,渡邉優美,小野生奈,日高逸子,川野芽唯,犬童千秋,野田部宏子,15,32,40,55,50,37,73,30,31,53,16,20,6.71,6.74,6.82,6.85,6.78,6.79,1,2,3,4,5,6,0.15,0.09,0.24,0.13,0.09,0.08,107.2,110.3,,109.6,112.3,,1,3,5,2,4,6,1,1,4,1-4,1-4,1-4,1-2,2-4,1-4-2,1-2-4,1.9,1.0,2.4,7.6,5.8,2.7,1.2,3.0,13.6,2.7,3,2,5,1,6,5,1,逃げ,1
36,日本モーターボート選手会会長杯GW特選,2,2021-05-02,19,下関,1,シーモ戦,1800,4475,4567,5027,5067,3819,5106,末永祐輝,上村慎太郎,重冨勇哉,山田真聖,大内裕樹,山崎祥,21,29,53,68,73,62,12,46,16,64,62,61,6.74,6.71,6.84,6.73,6.82,6.79,1,2,3,4,5,6,0.21,0.24,0.23,0.11,0.16,0.13,109.8,112.0,,109.3,112.9,,2,3,5,1,4,6,4,4,1,4-1,1-4,1-4,2-4,1-2,4-1-2,1-2-4,8.5,2.0,1.0,24.2,2.6,2.8,4.7,1.5,50.5,3.3,6,2,3,5,2,15,1,まくり,1
37,日本モーターボート選手会会長杯GW特選,2,2021-05-02,19,下関,2,予選,1800,4842,4041,3581,3976,3974,4871,山下昂大,小林基樹,加木郁,内田圭,深山祐二,菊池宏志,16,31,41,11,32,25,56,24,72,73,57,13,6.76,6.68,6.76,6.80,6.75,6.71,1,2,3,4,5,6,0.15,0.16,0.14,0.18,0.13,0.23,109.2,,110.5,,111.8,112.6,1,5,2,6,3,4,1,1,3,1-3,1-3,1-3,1-5,3-5,1-3-5,1-3-5,2.1,1.0,1.6,3.0,2.6,1.3,4.2,5.0,18.5,8.5,2,2,1,8,9,6,4,逃げ,1
38,日本モーターボート選手会会長杯GW特選,2,2021-05-02,19,下関,3,予選,1800,3708,4817,4237,4179,3036,3684,岡部貴司,渡邉翼,大峯豊,広次修,吉本正昭,清水攻二,46,42,59,54,23,15,31,37,39,51,68,17,6.73,6.70,6.75,6.69,6.77,6.77,1,2,3,4,5,6,0.19,0.21,0.16,0.19,0.21,0.32,109.2,,110.4,111.3,,111.3,1,5,2,4,6,3,1,1,3,1-3,1-3,1-3,1-6,3-6,1-3-6,1-3-6,1.2,1.0,1.4,3.4,1.3,1.9,4.0,4.6,27.9,10.4,1,1,2,7,8,9,4,逃げ,1
39,日本モーターボート選手会会長杯GW特選,2,2021-05-02,19,下関,4,予選,1800,4718,3567,3942,3643,3925,3903,北川太一,吉岡誠,寺田祥,米田隆弘,大田誠,白石健,64,66,72,51,47,13,33,15,25,34,19,65,6.71,6.85,6.70,6.78,6.79,6.76,1,2,3,4,5,6,0.15,0.15,0.16,0.29,0.27,0.29,112.5,,108.7,111.7,,109.5,4,6,1,3,5,2,3,3,6,3-6,3-6,3-6,3-4,4-6,3-6-4,3-4-6,1.9,1.1,4.2,5.9,6.4,1.9,2.5,4.5,16.6,8.3,4,3,3,5,6,7,4,まくり,1
40,日本モーターボート選手会会長杯GW特選,2,2021-05-02,19,下関,5,予選,1800,4594,4226,3858,4324,4567,5145,谷川祐一,村田浩司,織田猛,海野康志郎,上村慎太郎,島川海輝,20,63,52,34,29,30,54,43,45,14,46,41,6.77,6.76,6.74,6.68,6.74,6.76,1,2,3,4,5,6,0.01,0.06,-0.01,0.04,0.05,0.13,109.3,112.5,,111.7,112.2,,1,4,6,2,3,5,1,1,4,1-4,1-4,1-4,1-5,4-5,1-4-5,1-4-5,1.4,1.0,1.0,2.0,1.9,1.0,2.3,1.5,6.4,3.1,1,2,1,5,3,3,2,逃げ,1
41,日本モーターボート選手会会長杯GW特選,2,2021-05-02,19,下関,6,予選,1800,4106,5027,4262,3974,3961,4970,坂井康嗣,重冨勇哉,馬場貴也,深山祐二,谷村一哉,井町泰,33,53,55,32,65,27,18,16,40,57,30,49,6.76,6.82,6.78,6.77,6.81,6.87,1,2,3,4,5,6,0.28,0.25,0.19,0.26,0.14,0.17,109.0,,111.8,,110.7,112.3,1,5,3,6,2,4,1,1,5,1-5,1-5,1-5,1-3,3-5,1-5-3,1-3-5,1.9,1.5,2.7,14.2,10.2,1.3,1.0,1.2,23.8,1.9,5,4,3,1,2,9,1,逃げ,1
