,title,day,date,place_cd,place,race_no,race_type,distance,deadline,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6
0,BTS長崎時津開設記念,6,2021-08-03,24,大村,1,一般,1800,15:15,5059,3998,4333,4054,3789,5093,冨田祥,冨成謙児,村田友也,福嶋智之,和田敏彦,浦野海,香川,佐賀,徳島,岡山,福岡,福岡,B1,B1,B2,B1,B2,B1,24,42,37,43,49,19,52,53,65,53,48,53,2.39,5.27,4.19,4.42,3.42,2.64,6.82,29.82,23.81,24.59,17.39,7.89,2.31,4.61,3.83,4.00,3.04,1.82,12.50,22.39,16.67,14.29,12.00,4.55,39,20,48,35,46,60,43.75,12.50,35.29,50.00,18.75,20.00,22,49,24,41,50,20,42.86,50.00,64.71,13.64,38.89,45.45
1,BTS長崎時津開設記念,6,2021-08-03,24,大村,2,一般,1800,15:47,5060,4705,4105,4919,4778,3284,数原魁,吉川勇作,松下直也,吉田翔悟,堤啓輔,渡邊伸太,兵庫,長崎,兵庫,長崎,佐賀,佐賀,B1,B1,B1,B1,B1,A2,24,32,41,30,35,53,52,54,53,52,50,53,3.66,3.95,5.02,5.03,4.84,5.93,15.38,24.69,30.67,30.97,28.57,44.44,0.00,4.81,4.86,5.04,5.13,6.05,0.00,28.67,27.91,30.70,31.25,33.33,49,22,26,31,36,29,41.18,60.00,55.00,17.65,21.05,26.32,64,25,76,48,45,54,46.15,47.06,52.94,37.50,36.84,44.00
2,BTS長崎時津開設記念,6,2021-08-03,24,大村,3,一般,1800,16:15,4112,5073,4521,3989,4106,3819,大久保信,上原健次,小池公生,熊本英一,坂井康嗣,大内裕樹,佐賀,福岡,福岡,佐賀,佐賀,滋賀,B1,B1,A2,B1,B1,B1,41,25,34,43,41,49,53,53,52,56,51,56,4.54,3.12,5.12,4.18,4.74,3.89,23.68,8.14,31.71,16.85,28.32,14.63,5.44,2.30,5.88,3.65,4.27,5.25,32.47,0.00,37.50,15.38,13.64,41.67,44,53,54,25,59,30,35.29,33.33,15.38,60.00,41.18,50.00,15,75,47,40,43,12,47.06,47.06,12.50,17.65,33.33,18.75
3,BTS長崎時津開設記念,6,2021-08-03,24,大村,4,一般,1800,16:41,3919,4271,3876,4167,4661,3974,村上純,川崎公靖,中辻崇人,片岡秀樹,中島昂章,深山祐二,岡山,広島,福岡,徳島,佐賀,佐賀,A2,A2,A1,B1,B1,B1,46,39,44,39,29,44,54,52,52,56,52,52,5.04,4.57,6.88,4.48,4.95,4.42,34.45,25.00,57.69,22.58,24.27,27.10,7.02,4.50,6.21,5.23,4.61,4.53,61.02,10.00,39.47,26.92,18.42,22.50,34,16,50,32,47,55,33.33,17.65,37.50,46.43,26.67,13.33,62,16,37,27,53,26,12.50,40.00,33.33,14.29,31.25,20.00
4,BTS長崎時津開設記念,6,2021-08-03,24,大村,7,一般,1800,18:02,3975,4919,4054,5093,4566,5073,小野寺智,吉田翔悟,福嶋智之,浦野海,塩田北斗,上原健次,香川,長崎,岡山,福岡,福岡,福岡,A2,B1,B1,B1,A1,B1,44,30,43,19,33,25,52,52,53,53,54,53,5.70,5.03,4.42,2.64,6.75,3.12,36.51,30.97,24.59,7.89,50.86,8.14,5.95,5.04,4.00,1.82,6.56,2.30,40.48,30.70,14.29,4.55,44.44,0.00,33,31,35,60,51,53,38.89,17.65,50.00,20.00,20.00,33.33,38,48,41,20,30,75,35.00,37.50,13.64,45.45,31.25,47.06
5,BTS長崎時津開設記念,6,2021-08-03,24,大村,8,一般,1800,18:34,4682,4106,4705,4588,4271,4333,大上卓人,坂井康嗣,吉川勇作,田中京介,川崎公靖,村田友也,広島,佐賀,長崎,福岡,広島,徳島,A1,B1,B1,A2,A2,B2,30,41,32,30,39,37,52,51,54,56,52,65,7.55,4.74,3.95,5.31,4.57,4.19,55.46,28.32,24.69,36.62,25.00,23.81,7.54,4.27,4.81,4.91,4.50,3.83,61.54,13.64,28.67,30.43,10.00,16.67,17,59,22,52,16,48,17.65,41.18,60.00,6.25,17.65,35.29,17,43,25,29,16,24,37.50,33.33,47.06,35.71,40.00,64.71
6,BTS長崎時津開設記念,6,2021-08-03,24,大村,11,特別選抜戦,1800,20:07,4802,3876,3975,4682,4515,4112,中田達也,中辻崇人,小野寺智,大上卓人,藤田浩人,大久保信,福岡,福岡,香川,広島,佐賀,佐賀,A1,A1,A2,A1,A2,B1,27,44,44,30,35,41,52,52,52,52,54,53,6.41,6.88,5.70,7.55,5.52,4.54,45.95,57.69,36.51,55.46,37.11,23.68,6.43,6.21,5.95,7.54,6.03,5.44,50.00,39.47,40.48,61.54,35.29,32.47,56,50,33,17,18,44,14.29,37.50,38.89,17.65,52.38,35.29,36,37,38,17,23,15,31.58,33.33,35.00,37.50,43.75,47.06
7,BTS三日月開設25周年記念,6,2021-08-03,23,唐津,1,朝1戦一般,1800,08:50,4351,3615,4811,4978,3820,4866,里岡右貴,横田茂,向井田佑,山田和佐,樫葉次郎,橋本英一,福岡,広島,広島,広島,徳島,福岡,A1,B1,B1,B1,B1,B1,35,48,32,27,49,31,56,51,48,55,58,54,6.56,5.20,5.56,4.53,3.99,4.21,47.77,35.53,35.66,28.79,18.89,22.35,6.59,5.06,5.37,4.33,4.79,3.95,47.30,34.72,25.58,20.00,25.00,13.51,16,36,13,68,46,14,36.16,42.57,28.57,32.06,36.54,38.37,67,88,87,46,77,56,36.36,30.21,33.00,36.46,24.44,32.99
8,BTS三日月開設25周年記念,6,2021-08-03,23,唐津,2,モー2ング一,1800,09:19,3257,4348,4672,4839,5143,5138,田頭実,宮崎奨,守屋大地,四宮与寛,常盤海心,村本大成,福岡,香川,岡山,徳島,徳島,福岡,A1,A2,B1,B1,B2,B2,54,35,35,31,20,21,50,54,51,52,53,55,7.46,6.00,3.97,5.37,2.10,1.36,61.29,39.86,15.96,33.08,6.45,1.79,8.95,6.85,4.37,5.43,2.88,1.28,84.21,70.00,18.37,37.74,12.50,0.00,12,62,42,30,22,47,28.03,31.78,26.34,30.90,39.27,34.24,37,45,76,50,59,58,27.00,32.97,31.68,26.74,27.45,33.72
9,BTS三日月開設25周年記念,6,2021-08-03,23,唐津,3,3ライズ戦一,1800,09:48,4173,4180,3783,4355,4143,4587,岡谷健吾,上野秀和,瓜生正義,小川広大,浦田晃嗣,木田峰由,広島,福岡,福岡,福岡,佐賀,福井,A2,B1,A1,B1,B1,B1,38,38,45,37,40,30,57,58,52,54,56,53,6.01,4.48,7.42,4.45,5.24,5.22,41.04,24.72,48.94,23.58,27.96,32.76,4.00,4.79,8.50,4.21,4.72,5.92,26.67,26.19,62.50,31.58,22.94,46.15,69,39,40,49,58,70,42.58,35.06,29.26,37.08,30.77,39.18,53,32,44,73,41,66,27.06,24.18,26.92,34.94,35.11,38.54
