,title,day,date,place_cd,place,race_no,race_type,distance,deadline,toban_1,toban_2,toban_3,toban_4,toban_5,toban_6,name_1,name_2,name_3,name_4,name_5,name_6,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1,moter_no_2,moter_no_3,moter_no_4,moter_no_5,moter_no_6,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1,boat_no_2,boat_no_3,boat_no_4,boat_no_5,boat_no_6,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6
0,九州地区選手権,6,2021-02-13,24,大村,1,一般,1800,14:51,3257,4545,3265,4504,4802,4932,田頭実,岡村慶太,今村暢孝,前田将太,中田達也,新開航,福岡,福岡,福岡,福岡,福岡,福岡,A1,A1,A1,A1,A1,A1,53,33,56,32,27,24,51,55,52,54,52,51,7.05,7.60,6.87,7.12,6.54,6.75,60.91,66.00,59.49,51.94,51.72,57.75,4.53,6.43,5.94,7.26,6.69,6.40,20.00,43.48,53.19,59.26,58.62,45.28,55,69,30,63,17,53,28.48,31.51,40.85,29.61,32.64,34.51,52,12,75,56,32,60,30.26,28.26,41.22,27.42,28.57,42.07
1,九州地区選手権,6,2021-02-13,24,大村,2,一般,1800,15:18,4522,4521,4136,3473,4112,3623,古澤光紀,小池公生,江夏満,石川真二,大久保信,深川真二,福岡,福岡,福岡,福岡,佐賀,佐賀,A1,A1,A1,A1,A1,A1,33,33,40,50,40,46,53,50,54,52,52,51,7.24,6.33,6.66,6.47,5.97,8.00,58.42,51.45,49.04,48.72,42.86,67.21,7.21,6.41,6.69,8.00,5.54,7.45,53.57,40.54,48.72,55.56,35.82,58.18,38,60,66,24,11,27,31.16,35.06,28.57,29.45,36.30,40.82,73,38,21,63,71,64,35.51,27.89,35.57,32.62,35.57,28.47
2,九州地区選手権,6,2021-02-13,24,大村,3,一般,1800,15:45,4171,4148,4189,4433,3284,4102,榎幸司,枝尾賢,川上剛,川野芽唯,渡邊伸太,益田啓司,長崎,福岡,福岡,福岡,佐賀,福岡,A1,A1,A1,A1,A1,A1,38,39,39,34,53,41,52,51,54,47,53,53,6.18,6.67,5.74,6.25,5.70,6.44,43.33,43.12,35.77,44.68,35.43,47.62,7.13,6.56,7.44,6.25,6.17,6.02,56.54,48.00,66.67,46.88,33.33,40.32,67,18,52,13,43,12,30.53,51.39,32.64,44.06,34.21,50.00,11,16,67,13,46,39,28.08,32.17,40.91,32.47,34.67,35.29
3,九州地区選手権,6,2021-02-13,24,大村,4,一般,1800,16:12,4445,4544,4287,4101,4530,4715,宮地元輝,松田大志,今井貴士,三井所尊,小野生奈,村上遼,佐賀,福岡,福岡,佐賀,福岡,長崎,A1,A1,A1,A1,A1,A1,34,33,36,41,32,28,55,51,56,53,46,52,6.41,7.61,6.14,6.21,7.23,6.43,41.75,63.64,42.96,45.35,56.36,48.57,7.14,8.63,7.14,5.68,7.35,6.37,54.76,75.00,65.52,39.29,54.84,46.51,59,36,75,37,65,58,30.38,42.31,51.18,38.41,29.69,45.77,66,43,48,62,35,26,39.44,42.18,42.14,33.33,50.32,37.01
4,九州地区選手権,6,2021-02-13,24,大村,5,一般,1800,16:39,4566,4831,3514,4932,4174,3349,塩田北斗,羽野直也,山一鉄也,新開航,赤坂俊輔,吉田一郎,福岡,福岡,福岡,福岡,長崎,長崎,A1,A1,A1,A1,A1,A1,33,25,53,24,38,53,54,53,51,51,50,52,7.05,7.37,5.95,6.75,6.61,6.39,55.64,51.92,42.54,57.75,47.86,46.81,5.80,6.68,6.68,6.40,7.23,6.77,50.00,29.73,52.56,45.28,55.50,53.85,57,72,50,53,70,76,34.23,43.36,49.03,34.51,39.31,28.48,36,29,54,60,17,49,37.84,37.40,39.16,42.07,39.72,41.10
5,九州地区選手権,6,2021-02-13,24,大村,6,一般,1800,17:12,4350,4556,4351,4521,3576,4352,篠崎元志,竹井奈美,里岡右貴,小池公生,白水勝也,下條雄太,福岡,福岡,福岡,福岡,福岡,長崎,A1,A1,A1,A1,A1,A1,34,31,34,33,48,34,53,46,53,50,52,52,7.13,6.63,6.32,6.33,6.14,7.01,47.57,50.78,46.76,51.45,43.10,52.14,7.21,7.21,6.76,6.41,6.50,7.45,41.38,52.63,55.88,40.54,55.00,60.12,15,73,48,60,35,14,33.11,32.85,34.27,35.06,34.59,33.09,25,45,37,38,68,47,39.46,40.13,32.65,27.89,40.00,28.38
6,九州地区選手権,6,2021-02-13,24,大村,7,一般,1800,17:45,4477,4256,4545,4148,4848,4451,篠崎仁志,渡辺浩司,岡村慶太,枝尾賢,仲谷颯仁,松崎祐太,福岡,福岡,福岡,福岡,福岡,福岡,A1,A1,A1,A1,A1,A1,33,37,33,39,26,33,54,52,55,51,52,51,7.41,7.39,7.60,6.67,6.95,6.74,43.43,61.48,66.00,43.12,50.00,51.59,7.98,7.04,6.43,6.56,6.30,6.78,55.56,50.00,43.48,48.00,31.58,48.65,29,32,69,18,23,20,39.13,28.67,31.51,51.39,44.14,37.97,72,70,12,16,19,27,28.87,36.96,28.26,32.17,38.97,36.36
7,九州地区選手権,6,2021-02-13,24,大村,8,一般,1800,18:19,4500,4504,4112,4831,4189,4447,山田康二,前田将太,大久保信,羽野直也,川上剛,深川麻奈,佐賀,福岡,佐賀,福岡,福岡,福岡,A1,A1,A1,A1,A1,A1,33,32,40,25,39,34,53,54,52,53,54,49,7.14,7.12,5.97,7.37,5.74,6.31,55.05,51.94,42.86,51.92,35.77,46.23,7.49,7.26,5.54,6.68,7.44,6.24,58.14,59.26,35.82,29.73,66.67,42.86,62,63,11,72,52,71,35.66,29.61,36.30,43.36,32.64,33.11,44,56,71,29,67,40,27.27,27.42,35.57,37.40,40.91,36.73
8,九州地区選手権,6,2021-02-13,24,大村,9,一般,1800,18:53,4296,4413,4288,4371,3514,4802,岡崎恭裕,水摩敦,永田啓二,西山貴浩,山一鉄也,中田達也,福岡,福岡,福岡,福岡,福岡,福岡,A1,A1,A1,A1,A1,A1,34,34,36,33,53,27,51,52,53,52,51,52,7.27,6.43,6.53,7.56,5.95,6.54,56.64,45.90,41.60,50.00,42.54,51.72,8.09,6.00,6.51,7.47,6.68,6.69,69.64,33.33,47.46,55.06,52.56,58.62,39,68,64,49,50,17,33.33,32.05,29.94,34.72,49.03,32.64,18,51,74,20,54,32,28.28,29.08,28.78,32.21,39.16,28.57
9,九州地区選手権,6,2021-02-13,24,大村,10,特別選抜B戦,1800,19:28,4352,4477,4544,4171,4522,4566,下條雄太,篠崎仁志,松田大志,榎幸司,古澤光紀,塩田北斗,長崎,福岡,福岡,長崎,福岡,福岡,A1,A1,A1,A1,A1,A1,34,33,33,38,33,33,52,54,51,52,53,54,7.01,7.41,7.61,6.18,7.24,7.05,52.14,43.43,63.64,43.33,58.42,55.64,7.45,7.98,8.63,7.13,7.21,5.80,60.12,55.56,75.00,56.54,53.57,50.00,14,29,36,67,38,57,33.09,39.13,42.31,30.53,31.16,34.23,47,72,43,11,73,36,28.38,28.87,42.18,28.08,35.51,37.84
