,title_x,day_x,date,place_cd,place_x,race_no,race_type_x,distance_x,toban_1_x,toban_2_x,toban_3_x,toban_4_x,toban_5_x,toban_6_x,name_1_x,name_2_x,name_3_x,name_4_x,name_5_x,name_6_x,moter_no_1_x,moter_no_2_x,moter_no_3_x,moter_no_4_x,moter_no_5_x,moter_no_6_x,boat_no_1_x,boat_no_2_x,boat_no_3_x,boat_no_4_x,boat_no_5_x,boat_no_6_x,ET_1_x,ET_2_x,ET_3_x,ET_4_x,ET_5_x,ET_6_x,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari,title_y,day_y,date_x,place_y,race_type_y,distance_y,deadline,toban_1_y,toban_2_y,toban_3_y,toban_4_y,toban_5_y,toban_6_y,name_1_y,name_2_y,name_3_y,name_4_y,name_5_y,name_6_y,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1_y,moter_no_2_y,moter_no_3_y,moter_no_4_y,moter_no_5_y,moter_no_6_y,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1_y,boat_no_2_y,boat_no_3_y,boat_no_4_y,boat_no_5_y,boat_no_6_y,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6,date_y,ET_1_y,ET_2_y,ET_3_y,ET_4_y,ET_5_y,ET_6_y,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
0,スポーツ報知杯,1,2021-04-24,24,大村,1,予選,1800,3906,4705,5086,2912,4969,4213,飯山晃三,吉川勇作,本村大,尾崎鉄也,町田洸希,重富伸也,31,23,43,66,44,58,54,21,62,33,55,22,7.01,6.98,6.9,6.98,6.89,6.93,1,2,3,4,5,6,0.15,0.13,0.18,0.22,0.26,0.25,111.2,,,113.6,112.5,111.8,1,6,5,4,3,2,1,1,6,1-6,1-6,1-6,1-5,5-6,1-6-5,1-5-6,1.3,1.3,5.8,15.0,6.2,2.1,3.6,10.8,56.1,23.2,6,3,3,5,13,21,10,逃げ,1,スポーツ報知杯,1,2021-04-24,大村,予選,1800,15:17,3906,4705,5086,2912,4969,4213,飯山晃三,吉川勇作,本村大,尾崎鉄也,町田洸希,重富伸也,長崎,長崎,長崎,長崎,長崎,長崎,B1,B1,B1,B1,B1,B1,43,32,21,65,29,36,58,54,53,56,53,53,4.37,3.66,2.59,3.87,4.16,3.84,22.47,19.1,8.75,23.71,17.76,16.82,5.64,4.94,2.55,4.66,3.61,4.86,38.96,29.71,3.57,28.45,18.1,28.83,31,23,43,66,44,58,26.38,43.39,34.8,30.6,27.81,45.31,54,21,62,33,55,22,40.32,36.04,34.54,37.56,26.32,21.77,2021-4-24,7.01,6.98,6.9,6.98,6.89,6.93,-0.5,-0.5,0.0,-0.5,0.0,0.0,0.11,0.08,0.16,0.08,0.11,0.08,1,2,3,4,5,6,晴,21.0,9,1.0,18.0,1.0
1,スポーツ報知杯,1,2021-04-24,24,大村,2,予選,1800,3571,4753,3936,4948,4004,4171,寺本武司,森照夫,三瀬譲,木場悠介,山本浩輔,榎幸司,40,20,19,60,73,36,68,16,58,49,70,34,6.97,6.91,6.98,6.97,6.9,6.92,1,2,3,4,5,6,0.23,0.27,0.23,0.22,0.34,0.3,,114.6,,111.4,110.5,112.4,5,4,6,2,1,3,5,5,4,5-4,4-5,4-5,5-6,4-6,5-4-6,4-5-6,12.5,2.4,3.3,44.0,22.1,5.6,6.5,2.7,157.9,19.0,18,9,12,13,2,59,10,まくり差し,1,スポーツ報知杯,1,2021-04-24,大村,予選,1800,15:43,3571,4753,3936,4948,4004,4171,寺本武司,森照夫,三瀬譲,木場悠介,山本浩輔,榎幸司,長崎,福岡,長崎,長崎,長崎,長崎,B1,B2,B1,B1,B1,A1,49,32,43,28,43,38,53,55,56,51,52,52,3.95,4.37,3.52,5.03,4.57,6.33,21.25,23.17,19.42,28.33,18.18,42.48,4.67,5.33,4.51,4.64,5.67,7.01,29.35,26.67,25.95,24.26,36.62,54.17,40,20,19,60,73,36,26.74,36.92,28.95,35.05,31.28,40.63,68,16,58,49,70,34,35.57,31.98,35.75,36.36,33.51,27.33,2021-4-24,6.97,6.91,6.98,6.97,6.9,6.92,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.07,-0.01,-0.1,0.03,0.01,0.05,1,2,3,4,5,6,晴,26.0,9,1.0,18.0,1.0
2,スポーツ報知杯,1,2021-04-24,24,大村,3,予選,1800,4855,4919,3349,4195,4873,5107,江頭賢太,吉田翔悟,吉田一郎,前川守嗣,蒲原健太,松本真広,45,64,26,32,21,53,20,75,24,53,28,35,6.89,6.89,6.88,6.98,6.93,6.92,1,2,3,4,5,6,0.14,0.18,0.18,0.08,0.19,0.13,114.0,112.4,110.4,113.2,,,4,2,1,3,5,6,3,3,2,3-2,2-3,2-3,3-4,2-4,3-2-4,2-3-4,11.7,2.8,4.1,14.0,6.4,1.4,2.3,2.6,33.4,9.0,6,3,2,4,5,13,4,抜き,1,スポーツ報知杯,1,2021-04-24,大村,予選,1800,16:05,4855,4919,3349,4195,4873,5107,江頭賢太,吉田翔悟,吉田一郎,前川守嗣,蒲原健太,松本真広,長崎,長崎,長崎,福岡,佐賀,福岡,B1,B1,A1,A2,B1,B2,25,30,53,39,27,22,52,52,52,57,53,50,4.41,4.99,6.56,5.71,4.09,1.68,27.66,31.82,49.53,35.9,16.5,0.0,5.09,4.78,6.81,5.96,3.92,1.64,32.64,27.87,52.45,39.29,23.08,0.0,45,64,26,32,21,53,34.33,32.35,34.72,25.14,32.45,31.82,20,75,24,53,28,35,33.85,35.38,23.78,35.53,33.15,45.31,2021-4-24,6.89,6.89,6.88,6.98,6.93,6.92,0.0,0.0,0.0,-0.5,0.0,0.0,0.12,0.08,0.05,0.24,-0.06,0.11,1,2,3,4,5,6,晴,25.0,9,2.0,19.0,1.0
3,スポーツ報知杯,1,2021-04-24,24,大村,4,予選,1800,3501,5121,4603,3527,4395,4715,川上昇平,定松勇樹,谷川将太,中嶋誠一郎,下河雅史,村上遼,54,14,56,11,47,13,43,36,56,48,25,13,6.91,6.92,6.86,6.88,6.94,6.94,1,2,3,4,5,6,0.13,0.14,0.12,0.17,0.24,0.16,113.6,109.1,,110.5,112.4,,4,1,5,2,3,6,2,2,4,2-4,2-4,2-4,2-5,4-5,2-4-5,2-4-5,4.3,1.2,2.1,16.3,9.1,2.6,10.2,6.3,102.7,34.5,6,4,3,14,6,40,16,まくり,1,スポーツ報知杯,1,2021-04-24,大村,予選,1800,16:31,3501,5121,4603,3527,4395,4715,川上昇平,定松勇樹,谷川将太,中嶋誠一,下河雅史,村上遼,長崎,佐賀,長崎,長崎,福岡,長崎,B1,B1,B1,A2,B1,A1,51,19,33,50,34,28,54,53,52,52,56,51,4.78,5.72,4.92,5.82,5.09,6.48,25.88,39.13,24.37,39.17,29.41,49.21,5.07,1.27,5.02,6.09,5.53,6.36,34.09,0.0,24.82,40.83,41.18,45.3,54,14,56,11,47,13,27.22,37.84,26.16,37.37,24.86,40.63,43,36,56,48,25,13,40.76,38.02,32.07,41.24,39.18,32.34,2021-4-24,6.91,6.92,6.86,6.88,6.94,6.94,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.02,0.19,0.01,0.06,0.11,0.14,1,2,3,4,5,6,晴,24.0,9,2.0,18.0,1.0
4,スポーツ報知杯,1,2021-04-24,24,大村,5,予選,1800,3508,4497,3906,4241,3616,4315,久富政弘,桑原悠,飯山晃三,大串重幸,中村真,山崎昂介,74,17,31,71,15,50,18,12,54,59,15,37,7.0,6.95,7.01,6.96,6.95,6.87,1,2,3,4,5,6,0.11,0.12,0.13,0.11,0.15,0.15,109.6,113.3,,111.0,,111.6,1,4,6,2,5,3,1,1,4,1-4,1-4,1-4,1-6,4-6,1-4-6,1-4-6,1.9,1.4,2.6,30.0,21.5,3.9,11.0,13.8,170.3,68.9,9,7,5,12,13,39,14,逃げ,1,スポーツ報知杯,1,2021-04-24,大村,予選,1800,16:58,3508,4497,3906,4241,3616,4315,久富政弘,桑原悠,飯山晃三,大串重幸,中村真,山崎昂介,佐賀,長崎,長崎,長崎,福岡,長崎,B1,A1,B1,B1,A2,B1,49,33,43,36,48,36,54,50,58,54,53,53,5.1,7.58,4.37,5.11,5.2,4.71,35.65,61.29,22.47,30.33,32.85,29.25,4.98,7.78,5.64,5.21,5.55,4.62,24.53,65.63,38.96,34.3,45.24,25.24,74,17,31,71,15,50,25.42,28.5,26.38,31.63,33.16,49.46,18,12,54,59,15,37,27.62,25.15,40.32,41.36,42.79,35.79,2021-4-24,7.0,6.95,7.01,6.96,6.95,6.87,-0.5,0.0,0.0,0.0,-0.5,0.0,0.01,0.05,0.08,0.09,0.05,0.01,1,2,3,4,5,6,晴,24.0,9,2.0,18.0,1.0
5,スポーツ報知杯,1,2021-04-24,24,大村,6,予選,1800,3574,4640,4248,4213,4892,4070,大神康司,山ノ内雅人,岡本大,重富伸也,柴田直哉,中村亮太,69,46,35,58,57,38,52,60,30,22,19,66,6.93,6.92,6.93,6.86,6.86,6.83,1,2,3,6,4,5,0.17,0.18,0.19,0.13,0.21,0.18,111.2,113.8,,110.0,,113.2,2,4,6,1,5,3,4,4,1,4-1,1-4,1-4,4-6,1-6,4-1-6,1-4-6,22.7,6.7,2.7,66.6,10.6,3.1,3.1,1.5,119.7,6.4,15,4,5,6,1,33,2,まくり,0,スポーツ報知杯,1,2021-04-24,大村,予選,1800,17:27,3574,4640,4248,4213,4892,4070,大神康司,山ノ内雅,岡本大,重富伸也,柴田直哉,中村亮太,福岡,福岡,長崎,長崎,福岡,長崎,A2,A2,B1,B1,B1,A1,48,30,38,36,30,40,52,55,55,53,51,52,6.01,6.39,4.36,3.84,4.93,6.57,42.76,51.64,20.0,16.82,27.97,50.39,5.62,5.11,5.14,4.86,3.54,7.15,41.54,33.33,25.88,28.83,17.86,57.75,69,46,35,58,57,38,31.12,28.34,36.79,45.31,34.36,32.61,52,60,30,22,19,66,32.82,40.21,20.99,21.77,37.37,36.13,2021-4-24,6.93,6.92,6.93,6.86,6.86,6.83,-0.5,-0.5,-0.5,0.0,-0.5,0.0,0.02,0.06,0.02,0.2,0.03,0.04,1,3,4,5,6,2,晴,24.0,9,2.0,18.0,1.0
6,スポーツ報知杯,1,2021-04-24,24,大村,7,予選,1800,3944,4873,4004,4686,4705,3777,山口裕二,蒲原健太,山本浩輔,丸野一樹,吉川勇作,樋口亮,65,21,73,34,23,63,26,28,70,67,21,45,6.9,6.92,6.9,6.91,6.91,6.92,1,2,3,4,5,6,0.12,0.13,0.15,0.11,0.13,0.21,108.8,,112.3,109.7,113.7,,1,6,3,2,4,5,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,1.1,1.0,1.1,2.0,1.7,1.0,1.7,1.6,6.5,3.3,1,1,1,3,2,1,1,逃げ,1,スポーツ報知杯,1,2021-04-24,大村,予選,1800,17:58,3944,4873,4004,4686,4705,3777,山口裕二,蒲原健太,山本浩輔,丸野一樹,吉川勇作,樋口亮,長崎,佐賀,長崎,滋賀,長崎,長崎,A2,B1,B1,A1,B1,A2,42,27,43,29,32,45,52,53,52,52,54,52,6.59,4.09,4.57,7.44,3.66,5.38,47.41,16.5,18.18,53.03,19.1,38.17,7.2,3.92,5.67,7.0,4.94,6.11,58.01,23.08,36.62,50.0,29.71,47.33,65,21,73,34,23,63,31.32,32.45,31.28,30.43,43.39,28.34,26,28,70,67,21,45,37.89,33.15,33.51,41.36,36.04,38.02,2021-4-24,6.9,6.92,6.9,6.91,6.91,6.92,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,0.01,0.18,0.03,-0.09,-0.04,0.12,1,2,3,4,5,6,晴,23.0,9,2.0,18.0,1.0
7,スポーツ報知杯,1,2021-04-24,24,大村,8,予選,1800,4553,4395,4855,4820,5048,4352,坪口竜也,下河雅史,江頭賢太,上野励,眞鳥康太,下條雄太郎,37,47,45,28,67,48,40,25,20,73,51,39,6.9,6.96,6.92,6.93,6.9,6.92,1,2,3,5,6,4,0.23,0.16,0.12,0.3,0.31,0.16,,113.9,111.8,,113.7,109.9,6,4,2,5,3,1,6,6,3,6-3,3-6,3-6,5-6,3-5,6-3-5,3-5-6,2.7,1.1,5.1,26.1,25.6,2.8,5.9,23.1,234.0,69.9,6,5,3,9,14,43,13,まくり差し,0,スポーツ報知杯,1,2021-04-24,大村,予選,1800,18:30,4553,4395,4855,4820,5048,4352,坪口竜也,下河雅史,江頭賢太,上野励,眞鳥康太,下條雄太,長崎,福岡,長崎,福岡,長崎,長崎,A2,B1,B1,B2,B1,A1,32,34,25,29,26,35,54,56,52,56,55,53,6.46,5.09,4.41,3.18,3.88,7.16,47.73,29.41,27.66,16.67,15.22,54.72,6.29,5.53,5.09,2.87,3.55,7.48,44.19,41.18,32.64,9.68,11.49,59.79,37,47,45,28,67,48,38.46,24.86,34.33,29.89,30.65,34.2,40,25,20,73,51,39,32.67,39.18,33.85,34.98,33.17,32.49,2021-4-24,6.9,6.96,6.92,6.93,6.9,6.92,-0.5,-0.5,0.0,-0.5,0.0,-0.5,0.06,0.08,0.23,0.14,0.02,0.12,1,2,3,5,6,4,晴,23.0,9,2.0,18.0,1.0
8,スポーツ報知杯,1,2021-04-24,24,大村,9,予選,1800,4096,4474,3501,3508,4382,4966,石橋道友,渡辺崇,川上昇平,久富政弘,高山智至,田川大貴,72,12,54,74,70,68,61,71,43,18,27,31,6.83,6.87,6.9,6.92,6.94,6.88,1,2,3,4,5,6,0.13,0.18,0.13,0.18,0.15,0.09,109.7,111.4,113.8,,112.9,,1,2,4,6,3,5,1,1,2,1-2,1-2,1-2,1-5,2-5,1-2-5,1-2-5,1.0,1.0,1.0,2.0,1.4,1.2,4.1,5.0,11.9,6.0,1,1,1,7,9,4,3,逃げ,1,スポーツ報知杯,1,2021-04-24,大村,予選,1800,19:03,4096,4474,3501,3508,4382,4966,石橋道友,渡辺崇,川上昇平,久富政弘,高山智至,田川大貴,長崎,福岡,長崎,佐賀,滋賀,長崎,A1,A2,B1,B1,A2,B1,39,33,51,49,36,23,53,56,54,54,55,53,6.65,5.75,4.78,5.1,4.94,5.09,47.06,40.44,25.88,35.65,28.41,31.96,7.0,5.82,5.07,4.98,0.0,4.54,55.69,41.07,34.09,24.53,0.0,23.37,72,12,54,74,70,68,43.23,45.45,27.22,25.42,37.82,31.16,61,71,43,18,27,31,37.81,35.0,40.76,27.62,32.31,24.4,2021-4-24,6.83,6.87,6.9,6.92,6.94,6.88,-0.5,-0.5,-0.5,0.0,-0.5,0.0,0.02,-0.03,-0.01,0.14,0.09,0.12,1,2,3,4,5,6,晴,22.0,9,2.0,18.0,1.0
9,スポーツ報知杯,1,2021-04-24,24,大村,10,予選,1800,4828,4241,4195,5121,4640,4948,松山将吾,大串重幸,前川守嗣,定松勇樹,山ノ内雅人,木場悠介,62,71,32,14,46,60,17,59,53,36,60,49,6.91,6.93,6.96,6.91,6.86,6.89,1,2,3,4,5,6,0.09,0.22,0.08,0.07,0.07,0.08,109.9,,,108.8,112.5,113.5,2,5,6,1,3,4,4,4,1,4-1,1-4,1-4,4-5,1-5,4-1-5,1-4-5,7.5,2.2,1.0,13.7,3.5,2.2,4.5,2.1,32.8,3.6,5,2,4,9,3,14,1,まくり差し,1,スポーツ報知杯,1,2021-04-24,大村,予選,1800,19:29,4828,4241,4195,5121,4640,4948,松山将吾,大串重幸,前川守嗣,定松勇樹,山ノ内雅,木場悠介,滋賀,長崎,福岡,佐賀,福岡,長崎,A1,B1,A2,B1,A2,B1,26,36,39,19,30,28,51,54,57,53,55,51,5.8,5.11,5.71,5.72,6.39,5.03,40.87,30.33,35.9,39.13,51.64,28.33,7.75,5.21,5.96,1.27,5.11,4.64,66.67,34.3,39.29,0.0,33.33,24.26,62,71,32,14,46,60,38.86,31.63,25.14,37.84,28.34,35.05,17,59,53,36,60,49,36.22,41.36,35.53,38.02,40.21,36.36,2021-4-24,6.91,6.93,6.96,6.91,6.86,6.89,-0.5,0.0,0.0,-0.5,-0.5,-0.5,0.01,0.11,-0.01,0.01,-0.02,-0.08,1,2,3,4,5,6,晴,23.0,11,2.0,18.0,1.0
